,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
0,Commercial Bank (Class A),Nabil Bank Limited,11003001,Kathmandu,New Road Branch,1986-04-11,20,kathmandu,kathmandu,85.312068,27.698732
1,Commercial Bank (Class A),Nabil Bank Limited,11003002,Kathmandu,Jorpati Branch,1985-12-27,6,kathmandu,kathmandu,85.312068,27.698732
2,Commercial Bank (Class A),Nabil Bank Limited,11003003,Parsa,Birgunj Branch,1988-11-13,13,birgunj,birgunj,84.87029,27.01207
3,Commercial Bank (Class A),Nabil Bank Limited,11003004,Parsa,Power House Chowk Branch,1988-07-12,15,birgunj,birgunj,84.87029,27.01207
4,Commercial Bank (Class A),Nabil Bank Limited,11003005,Morang,Biratnagar Branch,1992-01-10,7,biratnagar,biratnagar,87.2823671,26.4653491
5,Commercial Bank (Class A),Nabil Bank Limited,11003006,Sunsari,Itahari Branch,2000-09-29,1,itahari,itahari,87.27703,26.66351
6,Commercial Bank (Class A),Nabil Bank Limited,11003007,Rupandehi,Butwal Branch,1995-11-17,6,butwal,butwal,83.464738,27.70825
7,Commercial Bank (Class A),Nabil Bank Limited,11003008,Rupandehi,Bhalwadi Branch,1996-07-16,3,tilottama,tilottama,83.4682608,27.6284907
8,Commercial Bank (Class A),Nabil Bank Limited,11003009,Kaski,Pokhara Branch,1996-12-30,8,pokhara,pokhara,83.986254,28.2181
9,Commercial Bank (Class A),Nabil Bank Limited,11003010,Rupandehi,Bhairahawa Branch,2001-08-08,13,siddharthanagar,siddharthanagar,83.36678,27.61456
10,Commercial Bank (Class A),Nabil Bank Limited,11003011,Banke,Nepalgunj Branch,2001-11-05,2,janaki,janaki,81.107625,28.559786
11,Commercial Bank (Class A),Nabil Bank Limited,11003012,Kathmandu,Maharajgunj Branch,2005-04-15,3,kathmandu,kathmandu,85.312068,27.698732
12,Commercial Bank (Class A),Nabil Bank Limited,11003013,Sunsari,Dharan Branch,2004-01-15,5,dharan,dharan,87.2828314,26.8166476
13,Commercial Bank (Class A),Nabil Bank Limited,11003014,Kathmandu,Tindhara,2010-11-14,1,kathmandu,kathmandu,85.312068,27.698732
14,Commercial Bank (Class A),Nabil Bank Limited,11003015,Kathmandu,Tripureshwar Branch,1984-07-12,11,kathmandu,kathmandu,85.312068,27.698732
15,Commercial Bank (Class A),Nabil Bank Limited,11003016,Lalitpur,Lalitpur Branch,1993-02-01,3,lalitpur,lalitpur,85.31678,27.67655
16,Commercial Bank (Class A),Nabil Bank Limited,11003017,Jhapa,Birtamod Branch,2007-11-07,4,birtamod,birtamod,87.9887249,26.6254248
17,Commercial Bank (Class A),Nabil Bank Limited,11003018,Jhapa,Damak Branch,2007-10-16,6,damak,damak,87.70319,26.66924
18,Commercial Bank (Class A),Nabil Bank Limited,11003019,Makwanpur,Hetauda Branch,2007-11-07,4,hetauda,hetauda,85.038319,27.433546
19,Commercial Bank (Class A),Nabil Bank Limited,11003020,Chitawan,Narayangadh Branch,2007-10-30,3,bharatpur,bharatpur,84.428535,27.689185
